status	size	property_type	rooms	floor	year_built	property_condition	location
wtórny	49.5	kamienica	2	2	brak informacji	do zamieszkania	Wilda
wtórny	69.0	kamienica	3	4	brak informacji	brak informacji	Wilda
wtórny	78.0	kamienica	3	3	brak informacji	do wykończenia	Jeżyce
pierwotny	27.62	blok	1	7	2024	do wykończenia	Nowe Miasto
wtórny	66.96	blok	3	2	2023	do zamieszkania	Grunwald
wtórny	70.8	blok	4	2	2016	do zamieszkania	Nowe Miasto
brak informacji	64.17	brak informacji	3	0	brak informacji	do wykończenia	Grunwald
wtórny	59.0	blok	3	4	2020	do zamieszkania	Jeżyce
wtórny	27.5	kamienica	2	3	1923	do zamieszkania	Grunwald
wtórny	36.0	kamienica	2	1	brak informacji	do zamieszkania	Grunwald
wtórny	64.2	kamienica	3	4	1906	do wykończenia	Stare Miasto
pierwotny	81.89	kamienica	2	0	1927	do wykończenia	Wilda
wtórny	38.0	blok	2	powyżej 10	brak informacji	brak informacji	Winogrady
wtórny	48.0	kamienica	2	4	brak informacji	brak informacji	Wilda
pierwotny	48.0	apartamentowiec	3	3	brak informacji	brak informacji	Podolany
wtórny	58.0	kamienica	3	4	brak informacji	brak informacji	Łazarz
wtórny	77.78	blok	4	4	2023	do wykończenia	Nowe Miasto
wtórny	47.5	blok	2	4	2001	do zamieszkania	Grunwald
wtórny	33.39	kamienica	2	1	brak informacji	zapytaj	Stare Miasto
wtórny	86.17	brak informacji	3	1	1960	do zamieszkania	Grunwald
wtórny	47.0	blok	2	10	brak informacji	do zamieszkania	Stare Miasto
wtórny	38.0	pozostałe	2	3	brak informacji	brak informacji	Stare Miasto
wtórny	132.0	kamienica	4	4	1880	do zamieszkania	Stare Miasto
wtórny	230.02	kamienica	1	1	brak informacji	zapytaj	Stare Miasto
pierwotny	43.69	blok	2	2	2023	do wykończenia	Grunwald
wtórny	42.0	blok	2	1	brak informacji	zapytaj	Grunwald
pierwotny	31.8	blok	3	8	2023	do wykończenia	Nowe Miasto
wtórny	69.7	blok	3	2	2019	do zamieszkania	Stare Miasto
wtórny	77.71	blok	3	2	brak informacji	do zamieszkania	Stare Miasto
wtórny	32.0	brak informacji	2	3	1992	zapytaj	Nowe Miasto
wtórny	44.9	kamienica	2	1	1955	do zamieszkania	Stare Miasto
wtórny	47.54	apartamentowiec	3	4	2017	do zamieszkania	Nowe Miasto
pierwotny	64.9	blok	1	2	2023	do wykończenia	Nowe Miasto
wtórny	41.0	blok	2	1	1960	do wykończenia	Nowe Miasto
wtórny	59.0	blok	2	2	1962	do remontu	Grunwald
brak informacji	60.44	brak informacji	3	0	brak informacji	do wykończenia	Grunwald
wtórny	64.0	blok	2	10	1972	do zamieszkania	Stare Miasto
pierwotny	110.51	apartamentowiec	4	5	2025	do wykończenia	Grunwald
pierwotny	35.37	apartamentowiec	2	4	brak informacji	do wykończenia	Nowe Miasto
wtórny	69.2	apartamentowiec	3	0	2008	zapytaj	Jeżyce
wtórny	105.0	kamienica	3	3	brak informacji	do zamieszkania	Grunwald
brak informacji	75.43	brak informacji	3	0	brak informacji	do wykończenia	Nowe Miasto
wtórny	43.65	kamienica	2	3	1900	do zamieszkania	Stare Miasto
wtórny	50.0	blok	2	1	1960	do zamieszkania	Stare Miasto
pierwotny	44.73	blok	3	0	2024	do wykończenia	Stare Miasto
wtórny	27.8	apartamentowiec	1	1	2014	do zamieszkania	Stare Miasto
wtórny	70.0	kamienica	2	3	1980	zapytaj	Grunwald
brak informacji	69.82	brak informacji	4	2	brak informacji	do wykończenia	Nowe Miasto
pierwotny	54.65	blok	3	3	2023	do wykończenia	Nowe Miasto
wtórny	64.0	blok	3	1	brak informacji	brak informacji	Piątkowo
pierwotny	41.63	blok	2	1	2024	zapytaj	Stare Miasto
wtórny	43.06	kamienica	2	2	brak informacji	do zamieszkania	Stare Miasto
wtórny	28.0	kamienica	1	0	1905	do zamieszkania	Stare Miasto
wtórny	21.07	kamienica	1	2	1920	do wykończenia	Stare Miasto
wtórny	87.0	blok	3	0	brak informacji	brak informacji	Rataje
wtórny	110.25	kamienica	3	1	1912	do zamieszkania	Grunwald
pierwotny	41.6	blok	2	zapytaj	2023	do wykończenia	Nowe Miasto
pierwotny	52.0	blok	3	0	2023	do wykończenia	Nowe Miasto
wtórny	34.53	kamienica	1	4	1900	do wykończenia	Stare Miasto
wtórny	70.0	blok	3	0	2010	zapytaj	Stare Miasto
wtórny	104.0	blok	5	8	2015	do zamieszkania	Grunwald
wtórny	43.9	blok	2	4	1970	do zamieszkania	Nowe Miasto
wtórny	126.1	kamienica	4	0	1930	do remontu	Jeżyce
wtórny	182.5	kamienica	5	3	1930	do zamieszkania	Grunwald
pierwotny	25.89	blok	1	2	2024	do wykończenia	Nowe Miasto
wtórny	82.0	blok	3	4	brak informacji	do zamieszkania	Grunwald
wtórny	48.52	kamienica	2	3	1905	do wykończenia	Jeżyce
wtórny	45.51	dom wolnostojący	2	1	2001	do zamieszkania	Jeżyce
wtórny	36.5	plomba	1	0	2001	do zamieszkania	Stare Miasto
brak informacji	71.94	brak informacji	4	1	brak informacji	do wykończenia	Nowe Miasto
wtórny	112.0	kamienica	3	2	brak informacji	do zamieszkania	Jeżyce
wtórny	58.8	brak informacji	2	0	2013	do zamieszkania	Stare Miasto
wtórny	50.0	blok	2	3	brak informacji	brak informacji	Piątkowo
pierwotny	37.0	brak informacji	1	1	2023	do wykończenia	Nowe Miasto
pierwotny	51.2	blok	2	0	2024	do wykończenia	Jeżyce
pierwotny	27.0	blok	1	3	brak informacji	do wykończenia	Nowe Miasto
pierwotny	28.6	blok	1	3	2025	zapytaj	Nowe Miasto
pierwotny	39.81	blok	2	2	2023	do zamieszkania	Nowe Miasto
wtórny	56.2	apartamentowiec	2	0	2010	do zamieszkania	Stare Miasto
wtórny	40.2	blok	1	0	2014	do zamieszkania	Stare Miasto
wtórny	97.0	kamienica	2	4	brak informacji	do zamieszkania	Wilda
pierwotny	47.55	apartamentowiec	2	0	2023	do wykończenia	Stare Miasto
wtórny	52.0	blok	2	3	2020	do zamieszkania	Jeżyce
pierwotny	21.7	apartamentowiec	1	6	2023	do wykończenia	Stare Miasto
wtórny	48.81	blok	2	4	2023	do zamieszkania	Nowe Miasto
wtórny	27.62	blok	1	8	2024	do wykończenia	Nowe Miasto
wtórny	45.02	kamienica	3	3	1910	do zamieszkania	Grunwald
wtórny	99.2	kamienica	2	2	1920	do zamieszkania	Jeżyce
wtórny	65.5	apartamentowiec	2	4	2021	do zamieszkania	Stare Miasto
brak informacji	65.28	brak informacji	3	4	brak informacji	do wykończenia	Grunwald
brak informacji	82.93	brak informacji	5	0	brak informacji	do wykończenia	Grunwald
pierwotny	25.31	kamienica	1	3	2022	do wykończenia	Jeżyce
wtórny	50.3	dom wolnostojący	2	0	1960	zapytaj	Grunwald
pierwotny	52.2	blok	2	4	2025	zapytaj	Nowe Miasto
wtórny	72.0	apartamentowiec	4	3	brak informacji	brak informacji	Poznań
wtórny	45.0	blok	2	0	brak informacji	brak informacji	Stare Miasto
brak informacji	66.47	brak informacji	4	3	brak informacji	do wykończenia	Jeżyce
wtórny	71.52	brak informacji	4	0	2020	zapytaj	Jeżyce
wtórny	48.51	blok	3	4	brak informacji	zapytaj	Grunwald
pierwotny	60.18	kamienica	1	2	2025	do wykończenia	Stare Miasto
pierwotny	38.83	brak informacji	1	zapytaj	brak informacji	zapytaj	Grunwald
wtórny	62.4	brak informacji	3	7	brak informacji	zapytaj	Nowe Miasto
wtórny	40.0	apartamentowiec	2	0	brak informacji	brak informacji	Poznań
wtórny	45.51	dom wolnostojący	2	1	2001	do zamieszkania	Jeżyce
wtórny	49.9	kamienica	3	2	1924	do remontu	Wilda
pierwotny	35.4	blok	2	5	2023	do wykończenia	Nowe Miasto
pierwotny	38.4	blok	2	0	2023	do wykończenia	Nowe Miasto
wtórny	25.0	blok	1	1	brak informacji	do zamieszkania	Grunwald
wtórny	43.34	blok	2	4	1970	do zamieszkania	Nowe Miasto
pierwotny	52.09	blok	3	3	2023	do wykończenia	Nowe Miasto
wtórny	45.19	blok	2	3	2006	do zamieszkania	Stare Miasto
pierwotny	53.96	blok	3	5	2023	do zamieszkania	Grunwald
pierwotny	41.6	blok	2	zapytaj	2023	do wykończenia	Nowe Miasto
wtórny	21.0	kamienica	2	3	brak informacji	brak informacji	Jeżyce
pierwotny	51.0	blok	3	1	2023	do wykończenia	Nowe Miasto
pierwotny	57.82	blok	3	0	2024	do wykończenia	Jeżyce
brak informacji	30.69	brak informacji	1	9	brak informacji	do wykończenia	Nowe Miasto
wtórny	36.54	kamienica	1	2	1905	do wykończenia	Jeżyce
wtórny	81.8	kamienica	4	2	brak informacji	do zamieszkania	Wilda
wtórny	28.5	blok	1	2	brak informacji	do wykończenia	Jeżyce
wtórny	87.0	blok	4	1	2009	do zamieszkania	Stare Miasto
wtórny	38.0	blok	2	10	brak informacji	zapytaj	Stare Miasto
wtórny	58.0	brak informacji	3	0	2011	zapytaj	Stare Miasto
wtórny	62.0	blok	2	3	2010	do zamieszkania	Stare Miasto
wtórny	46.8	blok	2	10	1985	do zamieszkania	Stare Miasto
brak informacji	88.84	brak informacji	4	2	brak informacji	do wykończenia	Grunwald
wtórny	56.4	blok	2	4	1961	do remontu	Grunwald
wtórny	31.0	blok	1	1	brak informacji	brak informacji	Poznań
wtórny	57.2	kamienica	3	0	brak informacji	do zamieszkania	Grunwald
brak informacji	44.58	brak informacji	2	3	brak informacji	do wykończenia	Grunwald
wtórny	55.0	blok	3	10	brak informacji	brak informacji	Górczyn
wtórny	60.0	blok	3	4	2016	do zamieszkania	Wilda
wtórny	53.0	blok	3	brak informacji	brak informacji	brak informacji	Sołacz
wtórny	32.7	kamienica	2	1	1900	do zamieszkania	Stare Miasto
wtórny	37.08	kamienica	2	4	brak informacji	zapytaj	Stare Miasto
wtórny	35.0	blok	2	2	brak informacji	brak informacji	Poznań
pierwotny	51.0	blok	3	1	2023	do wykończenia	Nowe Miasto
wtórny	100.0	brak informacji	3	zapytaj	brak informacji	zapytaj	Jeżyce
pierwotny	72.19	szeregowiec	3	1	2022	do wykończenia	Jeżyce
pierwotny	91.0	brak informacji	4	1	2022	zapytaj	Stare Miasto
pierwotny	33.58	blok	2	2	2024	zapytaj	Nowe Miasto
wtórny	37.0	blok	2	1	1960	do zamieszkania	Jeżyce
wtórny	87.0	blok	3	0	brak informacji	brak informacji	Rataje
wtórny	49.45	blok	2	9	2020	do zamieszkania	Stare Miasto
brak informacji	45.24	brak informacji	2	10	brak informacji	do wykończenia	Nowe Miasto
wtórny	67.33	blok	3	4	2021	do wykończenia	Jeżyce
wtórny	92.28	blok	4	1	2023	do zamieszkania	Jeżyce
wtórny	97.0	kamienica	2	4	brak informacji	do zamieszkania	Wilda
wtórny	47.6	blok	2	3	2003	do zamieszkania	Stare Miasto
wtórny	31.35	kamienica	1	2	brak informacji	do zamieszkania	Nowe Miasto
brak informacji	66.0	brak informacji	3	0	brak informacji	do wykończenia	Jeżyce
wtórny	57.0	brak informacji	2	2	1928	zapytaj	Wilda
brak informacji	48.48	brak informacji	2	1	brak informacji	do wykończenia	Grunwald
wtórny	68.0	dom wolnostojący	3	0	brak informacji	do zamieszkania	Jeżyce
wtórny	52.02	blok	3	0	2017	do zamieszkania	Stare Miasto
wtórny	48.81	blok	2	4	2023	do zamieszkania	Nowe Miasto
wtórny	70.92	apartamentowiec	2	2	2008	do zamieszkania	Nowe Miasto
pierwotny	31.78	kamienica	1	2	2024	do wykończenia	Stare Miasto
wtórny	51.2	apartamentowiec	3	0	2013	do zamieszkania	Grunwald
wtórny	52.0	blok	3	0	2017	do zamieszkania	Grunwald
pierwotny	53.4	dom wolnostojący	3	1	2023	do wykończenia	Stare Miasto
wtórny	54.29	blok	2	0	brak informacji	do zamieszkania	Stare Miasto
pierwotny	73.9	blok	4	1	2023	do remontu	Nowe Miasto
pierwotny	70.22	apartamentowiec	3	6	2024	do wykończenia	Stare Miasto
pierwotny	68.23	blok	3	2	2023	do zamieszkania	Stare Miasto
wtórny	40.0	blok	2	0	2012	do zamieszkania	Jeżyce
wtórny	51.33	apartamentowiec	3	6	2021	do zamieszkania	Wilda
brak informacji	78.29	brak informacji	3	1	brak informacji	do wykończenia	Nowe Miasto
wtórny	74.1	blok	6	1	brak informacji	do zamieszkania	Grunwald
wtórny	44.73	blok	2	0	2018	do zamieszkania	Nowe Miasto
wtórny	116.62	apartamentowiec	3	5	2022	do wykończenia	Nowe Miasto
